CODE,DESCRIPTION,MUNICITY,MUNICITY_1_2_3_4
012933000,Tagudin,012933000Tagudin,012933000Tagudin
012934000,City of Vigan (Capital),012934000City of Vigan (Capital),012934000City of Vigan (Capital)
013301000,Agoo,013301000Agoo,013301000Agoo
013302000,Aringay,013302000Aringay,013302000Aringay
013303000,Bacnotan,013303000Bacnotan,013303000Bacnotan
013304000,Bagulin,013304000Bagulin,013304000Bagulin
013305000,Balaoan,013305000Balaoan,013305000Balaoan
013306000,Bangar,013306000Bangar,013306000Bangar
013307000,Bauang,013307000Bauang,013307000Bauang
013308000,Burgos,013308000Burgos,013308000Burgos
013309000,Caba,013309000Caba,013309000Caba
013310000,Luna,013310000Luna,013310000Luna
013311000,Naguilian,013311000Naguilian,013311000Naguilian
013312000,Pugo,013312000Pugo,013312000Pugo
013313000,Rosario,013313000Rosario,013313000Rosario
013314000,City of San Fernando (Capital),013314000City of San Fernando (Capital),013314000City of San Fernando (Capital)
013315000,San Gabriel,013315000San Gabriel,013315000San Gabriel
013316000,San Juan,013316000San Juan,013316000San Juan
013317000,Santo Tomas,013317000Santo Tomas,013317000Santo Tomas
013318000,Santol,013318000Santol,013318000Santol
013319000,Sudipen,013319000Sudipen,013319000Sudipen
013320000,Tubao,013320000Tubao,013320000Tubao
015501000,Agno,015501000Agno,015501000Agno
015502000,Aguilar,015502000Aguilar,015502000Aguilar
015503000,City of Alaminos,015503000City of Alaminos,015503000City of Alaminos
015504000,Alcala,015504000Alcala,015504000Alcala
015505000,Anda,015505000Anda,015505000Anda
015506000,Asingan,015506000Asingan,015506000Asingan
015507000,Balungao,015507000Balungao,015507000Balungao
015508000,Bani,015508000Bani,015508000Bani
015509000,Basista,015509000Basista,015509000Basista
015510000,Bautista,015510000Bautista,015510000Bautista
015511000,Bayambang,015511000Bayambang,015511000Bayambang
015512000,Binalonan,015512000Binalonan,015512000Binalonan
015513000,Binmaley,015513000Binmaley,015513000Binmaley
015514000,Bolinao,015514000Bolinao,015514000Bolinao
015515000,Bugallon,015515000Bugallon,015515000Bugallon
015516000,Burgos,015516000Burgos,015516000Burgos
015517000,Calasiao,015517000Calasiao,015517000Calasiao
015518000,City of Dagupan,015518000City of Dagupan,015518000City of Dagupan
015519000,Dasol,015519000Dasol,015519000Dasol
015520000,Infanta,015520000Infanta,015520000Infanta
015521000,Labrador,015521000Labrador,015521000Labrador
015522000,Lingayen (Capital),015522000Lingayen (Capital),015522000Lingayen (Capital)
015523000,Mabini,015523000Mabini,015523000Mabini
015524000,Malasiqui,015524000Malasiqui,015524000Malasiqui
015525000,Manaoag,015525000Manaoag,015525000Manaoag
015526000,Mangaldan,015526000Mangaldan,015526000Mangaldan
015527000,Mangatarem,015527000Mangatarem,015527000Mangatarem
015528000,Mapandan,015528000Mapandan,015528000Mapandan
015529000,Natividad,015529000Natividad,015529000Natividad
015530000,Pozorrubio,015530000Pozorrubio,015530000Pozorrubio
015531000,Rosales,015531000Rosales,015531000Rosales
015532000,City of San Carlos,015532000City of San Carlos,015532000City of San Carlos
015533000,San Fabian,015533000San Fabian,015533000San Fabian
015534000,San Jacinto,015534000San Jacinto,015534000San Jacinto
015535000,San Manuel,015535000San Manuel,015535000San Manuel
015536000,San Nicolas,015536000San Nicolas,015536000San Nicolas
015537000,San Quintin,015537000San Quintin,015537000San Quintin
015538000,Santa Barbara,015538000Santa Barbara,015538000Santa Barbara
015539000,Santa Maria,015539000Santa Maria,015539000Santa Maria
015540000,Santo Tomas,015540000Santo Tomas,015540000Santo Tomas
015541000,Sison,015541000Sison,015541000Sison
015542000,Sual,015542000Sual,015542000Sual
015543000,Tayug,015543000Tayug,015543000Tayug
015544000,Umingan,015544000Umingan,015544000Umingan
015545000,Urbiztondo,015545000Urbiztondo,015545000Urbiztondo
015546000,City of Urdaneta,015546000City of Urdaneta,015546000City of Urdaneta
015547000,Villasis,015547000Villasis,015547000Villasis
015548000,Laoac,015548000Laoac,015548000Laoac
020901000,Basco (Capital),020901000Basco (Capital),020901000Basco (Capital)
020902000,Itbayat,020902000Itbayat,020902000Itbayat
020903000,Ivana,020903000Ivana,020903000Ivana
020904000,Mahatao,020904000Mahatao,020904000Mahatao
020905000,Sabtang,020905000Sabtang,020905000Sabtang
020906000,Uyugan,020906000Uyugan,020906000Uyugan
021501000,Abulug,021501000Abulug,021501000Abulug
021502000,Alcala,021502000Alcala,021502000Alcala
021503000,Allacapan,021503000Allacapan,021503000Allacapan
021504000,Amulung,021504000Amulung,021504000Amulung
021505000,Aparri,021505000Aparri,021505000Aparri
021506000,Baggao,021506000Baggao,021506000Baggao
021507000,Ballesteros,021507000Ballesteros,021507000Ballesteros
021508000,Buguey,021508000Buguey,021508000Buguey
021509000,Calayan,021509000Calayan,021509000Calayan
021510000,Camalaniugan,021510000Camalaniugan,021510000Camalaniugan
021511000,Claveria,021511000Claveria,021511000Claveria
021512000,Enrile,021512000Enrile,021512000Enrile
021513000,Gattaran,021513000Gattaran,021513000Gattaran
021514000,Gonzaga,021514000Gonzaga,021514000Gonzaga
021515000,Iguig,021515000Iguig,021515000Iguig
021516000,Lal-Lo,021516000Lal-Lo,021516000Lal-Lo
021517000,Lasam,021517000Lasam,021517000Lasam
021518000,Pamplona,021518000Pamplona,021518000Pamplona
021519000,Peñablanca,021519000Peñablanca,021519000Peñablanca
021520000,Piat,021520000Piat,021520000Piat
021521000,Rizal,021521000Rizal,021521000Rizal
021522000,Sanchez-Mira,021522000Sanchez-Mira,021522000Sanchez-Mira
021523000,Santa Ana,021523000Santa Ana,021523000Santa Ana
021524000,Santa Praxedes,021524000Santa Praxedes,021524000Santa Praxedes
021525000,Santa Teresita,021525000Santa Teresita,021525000Santa Teresita
021526000,Santo Niño,021526000Santo Niño,021526000Santo Niño
021527000,Solana,021527000Solana,021527000Solana
021528000,Tuao,021528000Tuao,021528000Tuao
021529000,Tuguegarao City (Capital),021529000Tuguegarao City (Capital),021529000Tuguegarao City (Capital)
023101000,Alicia,023101000Alicia,023101000Alicia
023102000,Angadanan,023102000Angadanan,023102000Angadanan
023103000,Aurora,023103000Aurora,023103000Aurora
023104000,Benito Soliven,023104000Benito Soliven,023104000Benito Soliven
023105000,Burgos,023105000Burgos,023105000Burgos
023106000,Cabagan,023106000Cabagan,023106000Cabagan
023107000,Cabatuan,023107000Cabatuan,023107000Cabatuan
023108000,City of Cauayan,023108000City of Cauayan,023108000City of Cauayan
023109000,Cordon,023109000Cordon,023109000Cordon
023110000,Dinapigue,023110000Dinapigue,023110000Dinapigue
023111000,Divilacan,023111000Divilacan,023111000Divilacan
023112000,Echague,023112000Echague,023112000Echague
023113000,Gamu,023113000Gamu,023113000Gamu
023114000,City of Ilagan (Capital),023114000City of Ilagan (Capital),023114000City of Ilagan (Capital)
023115000,Jones,023115000Jones,023115000Jones
023116000,Luna,023116000Luna,023116000Luna
023117000,Maconacon,023117000Maconacon,023117000Maconacon
023118000,Delfin Albano,023118000Delfin Albano,023118000Delfin Albano
023119000,Mallig,023119000Mallig,023119000Mallig
023120000,Naguilian,023120000Naguilian,023120000Naguilian
023121000,Palanan,023121000Palanan,023121000Palanan
023122000,Quezon,023122000Quezon,023122000Quezon
023123000,Quirino,023123000Quirino,023123000Quirino
023124000,Ramon,023124000Ramon,023124000Ramon
023125000,Reina Mercedes,023125000Reina Mercedes,023125000Reina Mercedes
023126000,Roxas,023126000Roxas,023126000Roxas
023127000,San Agustin,023127000San Agustin,023127000San Agustin
023128000,San Guillermo,023128000San Guillermo,023128000San Guillermo
023129000,San Isidro,023129000San Isidro,023129000San Isidro
023130000,San Manuel,023130000San Manuel,023130000San Manuel
023131000,San Mariano,023131000San Mariano,023131000San Mariano
023132000,San Mateo,023132000San Mateo,023132000San Mateo
023133000,San Pablo,023133000San Pablo,023133000San Pablo
023134000,Santa Maria,023134000Santa Maria,023134000Santa Maria
023135000,City of Santiago,023135000City of Santiago,023135000City of Santiago
023136000,Santo Tomas,023136000Santo Tomas,023136000Santo Tomas
023137000,Tumauini,023137000Tumauini,023137000Tumauini
025001000,Ambaguio,025001000Ambaguio,025001000Ambaguio
025002000,Aritao,025002000Aritao,025002000Aritao
025003000,Bagabag,025003000Bagabag,025003000Bagabag
025004000,Bambang,025004000Bambang,025004000Bambang
025005000,Bayombong (Capital),025005000Bayombong (Capital),025005000Bayombong (Capital)
025006000,Diadi,025006000Diadi,025006000Diadi
025007000,Dupax del Norte,025007000Dupax del Norte,025007000Dupax del Norte
025008000,Dupax del Sur,025008000Dupax del Sur,025008000Dupax del Sur
025009000,Kasibu,025009000Kasibu,025009000Kasibu
025010000,Kayapa,025010000Kayapa,025010000Kayapa
025011000,Quezon,025011000Quezon,025011000Quezon
025012000,Santa Fe,025012000Santa Fe,025012000Santa Fe
025013000,Solano,025013000Solano,025013000Solano
025014000,Villaverde,025014000Villaverde,025014000Villaverde
025015000,Alfonso Castaneda,025015000Alfonso Castaneda,025015000Alfonso Castaneda
025701000,Aglipay,025701000Aglipay,025701000Aglipay
025702000,Cabarroguis (Capital),025702000Cabarroguis (Capital),025702000Cabarroguis (Capital)
025703000,Diffun,025703000Diffun,025703000Diffun
025704000,Maddela,025704000Maddela,025704000Maddela
025705000,Saguday,025705000Saguday,025705000Saguday
025706000,Nagtipunan,025706000Nagtipunan,025706000Nagtipunan
030801000,Abucay,030801000Abucay,030801000Abucay
030802000,Bagac,030802000Bagac,030802000Bagac
030803000,City of Balanga (Capital),030803000City of Balanga (Capital),030803000City of Balanga (Capital)
030804000,Dinalupihan,030804000Dinalupihan,030804000Dinalupihan
030805000,Hermosa,030805000Hermosa,030805000Hermosa
030806000,Limay,030806000Limay,030806000Limay
030807000,Mariveles,030807000Mariveles,030807000Mariveles
030808000,Morong,030808000Morong,030808000Morong
030809000,Orani,030809000Orani,030809000Orani
030810000,Orion,030810000Orion,030810000Orion
030811000,Pilar,030811000Pilar,030811000Pilar
030812000,Samal,030812000Samal,030812000Samal
031401000,Angat,031401000Angat,031401000Angat
031402000,Balagtas,031402000Balagtas,031402000Balagtas
031403000,Baliuag,031403000Baliuag,031403000Baliuag
031404000,Bocaue,031404000Bocaue,031404000Bocaue
031405000,Bulacan,031405000Bulacan,031405000Bulacan
031406000,Bustos,031406000Bustos,031406000Bustos
031407000,Calumpit,031407000Calumpit,031407000Calumpit
031408000,Guiguinto,031408000Guiguinto,031408000Guiguinto
031409000,Hagonoy,031409000Hagonoy,031409000Hagonoy
031410000,City of Malolos (Capital),031410000City of Malolos (Capital),031410000City of Malolos (Capital)
031411000,Marilao,031411000Marilao,031411000Marilao
031412000,City of Meycauayan,031412000City of Meycauayan,031412000City of Meycauayan
031413000,Norzagaray,031413000Norzagaray,031413000Norzagaray
031414000,Obando,031414000Obando,031414000Obando
031415000,Pandi,031415000Pandi,031415000Pandi
031416000,Paombong,031416000Paombong,031416000Paombong
031417000,Plaridel,031417000Plaridel,031417000Plaridel
031418000,Pulilan,031418000Pulilan,031418000Pulilan
031419000,San Ildefonso,031419000San Ildefonso,031419000San Ildefonso
031420000,City of San Jose Del Monte,031420000City of San Jose Del Monte,031420000City of San Jose Del Monte
031421000,San Miguel,031421000San Miguel,031421000San Miguel
031422000,San Rafael,031422000San Rafael,031422000San Rafael
031423000,Santa Maria,031423000Santa Maria,031423000Santa Maria
031424000,Doña Remedios Trinidad,031424000Doña Remedios Trinidad,031424000Doña Remedios Trinidad
034901000,Aliaga,034901000Aliaga,034901000Aliaga
034902000,Bongabon,034902000Bongabon,034902000Bongabon
034903000,City of Cabanatuan,034903000City of Cabanatuan,034903000City of Cabanatuan
034904000,Cabiao,034904000Cabiao,034904000Cabiao
034905000,Carranglan,034905000Carranglan,034905000Carranglan
034906000,Cuyapo,034906000Cuyapo,034906000Cuyapo
034907000,Gabaldon,034907000Gabaldon,034907000Gabaldon
034908000,City of Gapan,034908000City of Gapan,034908000City of Gapan
034909000,General Mamerto Natividad,034909000General Mamerto Natividad,034909000General Mamerto Natividad
034910000,General Tinio,034910000General Tinio,034910000General Tinio
034911000,Guimba,034911000Guimba,034911000Guimba
034912000,Jaen,034912000Jaen,034912000Jaen
034913000,Laur,034913000Laur,034913000Laur
034914000,Licab,034914000Licab,034914000Licab
034915000,Llanera,034915000Llanera,034915000Llanera
034916000,Lupao,034916000Lupao,034916000Lupao
034917000,Science City of Muñoz,034917000Science City of Muñoz,034917000Science City of Muñoz
034918000,Nampicuan,034918000Nampicuan,034918000Nampicuan
034919000,City of Palayan (Capital),034919000City of Palayan (Capital),034919000City of Palayan (Capital)
034920000,Pantabangan,034920000Pantabangan,034920000Pantabangan
034921000,Peñaranda,034921000Peñaranda,034921000Peñaranda
034922000,Quezon,034922000Quezon,034922000Quezon
034923000,Rizal,034923000Rizal,034923000Rizal
034924000,San Antonio,034924000San Antonio,034924000San Antonio
034925000,San Isidro,034925000San Isidro,034925000San Isidro
034926000,San Jose City,034926000San Jose City,034926000San Jose City
034927000,San Leonardo,034927000San Leonardo,034927000San Leonardo
034928000,Santa Rosa,034928000Santa Rosa,034928000Santa Rosa
034929000,Santo Domingo,034929000Santo Domingo,034929000Santo Domingo
034930000,Talavera,034930000Talavera,034930000Talavera
034931000,Talugtug,034931000Talugtug,034931000Talugtug
034932000,Zaragoza,034932000Zaragoza,034932000Zaragoza
035401000,City of Angeles,035401000City of Angeles,035401000City of Angeles
035402000,Apalit,035402000Apalit,035402000Apalit
035403000,Arayat,035403000Arayat,035403000Arayat
035404000,Bacolor,035404000Bacolor,035404000Bacolor
035405000,Candaba,035405000Candaba,035405000Candaba
035406000,Floridablanca,035406000Floridablanca,035406000Floridablanca
035407000,Guagua,035407000Guagua,035407000Guagua
035408000,Lubao,035408000Lubao,035408000Lubao
035409000,Mabalacat City,035409000Mabalacat City,035409000Mabalacat City
035410000,Macabebe,035410000Macabebe,035410000Macabebe
035411000,Magalang,035411000Magalang,035411000Magalang
035412000,Masantol,035412000Masantol,035412000Masantol
035413000,Mexico,035413000Mexico,035413000Mexico
035414000,Minalin,035414000Minalin,035414000Minalin
035415000,Porac,035415000Porac,035415000Porac
035416000,City of San Fernando (Capital),035416000City of San Fernando (Capital),035416000City of San Fernando (Capital)
035417000,San Luis,035417000San Luis,035417000San Luis
035418000,San Simon,035418000San Simon,035418000San Simon
035419000,Santa Ana,035419000Santa Ana,035419000Santa Ana
035420000,Santa Rita,035420000Santa Rita,035420000Santa Rita
035421000,Santo Tomas,035421000Santo Tomas,035421000Santo Tomas
035422000,Sasmuan,035422000Sasmuan,035422000Sasmuan
036901000,Anao,036901000Anao,036901000Anao
036902000,Bamban,036902000Bamban,036902000Bamban
036903000,Camiling,036903000Camiling,036903000Camiling
036904000,Capas,036904000Capas,036904000Capas
036905000,Concepcion,036905000Concepcion,036905000Concepcion
036906000,Gerona,036906000Gerona,036906000Gerona
036907000,La Paz,036907000La Paz,036907000La Paz
036908000,Mayantoc,036908000Mayantoc,036908000Mayantoc
036909000,Moncada,036909000Moncada,036909000Moncada
036910000,Paniqui,036910000Paniqui,036910000Paniqui
036911000,Pura,036911000Pura,036911000Pura
036912000,Ramos,036912000Ramos,036912000Ramos
036913000,San Clemente,036913000San Clemente,036913000San Clemente
036914000,San Manuel,036914000San Manuel,036914000San Manuel
036915000,Santa Ignacia,036915000Santa Ignacia,036915000Santa Ignacia
036916000,City of Tarlac (Capital),036916000City of Tarlac (Capital),036916000City of Tarlac (Capital)
036917000,Victoria,036917000Victoria,036917000Victoria
036918000,San Jose,036918000San Jose,036918000San Jose
037101000,Botolan,037101000Botolan,037101000Botolan
037102000,Cabangan,037102000Cabangan,037102000Cabangan
037103000,Candelaria,037103000Candelaria,037103000Candelaria
037104000,Castillejos,037104000Castillejos,037104000Castillejos
037105000,Iba (Capital),037105000Iba (Capital),037105000Iba (Capital)
037106000,Masinloc,037106000Masinloc,037106000Masinloc
037107000,City of Olongapo,037107000City of Olongapo,037107000City of Olongapo
037108000,Palauig,037108000Palauig,037108000Palauig
037109000,San Antonio,037109000San Antonio,037109000San Antonio
037110000,San Felipe,037110000San Felipe,037110000San Felipe
037111000,San Marcelino,037111000San Marcelino,037111000San Marcelino
037112000,San Narciso,037112000San Narciso,037112000San Narciso
037113000,Santa Cruz,037113000Santa Cruz,037113000Santa Cruz
037114000,Subic,037114000Subic,037114000Subic
037701000,Baler (Capital),037701000Baler (Capital),037701000Baler (Capital)
037702000,Casiguran,037702000Casiguran,037702000Casiguran
037703000,Dilasag,037703000Dilasag,037703000Dilasag
037704000,Dinalungan,037704000Dinalungan,037704000Dinalungan
037705000,Dingalan,037705000Dingalan,037705000Dingalan
037706000,Dipaculao,037706000Dipaculao,037706000Dipaculao
037707000,Maria Aurora,037707000Maria Aurora,037707000Maria Aurora
037708000,San Luis,037708000San Luis,037708000San Luis
041001000,Agoncillo,041001000Agoncillo,041001000Agoncillo
041002000,Alitagtag,041002000Alitagtag,041002000Alitagtag
041003000,Balayan,041003000Balayan,041003000Balayan
041004000,Balete,041004000Balete,041004000Balete
041005000,Batangas City (Capital),041005000Batangas City (Capital),041005000Batangas City (Capital)
041006000,Bauan,041006000Bauan,041006000Bauan
041007000,Calaca,041007000Calaca,041007000Calaca
041008000,Calatagan,041008000Calatagan,041008000Calatagan
041009000,Cuenca,041009000Cuenca,041009000Cuenca
041010000,Ibaan,041010000Ibaan,041010000Ibaan
041011000,Laurel,041011000Laurel,041011000Laurel
041012000,Lemery,041012000Lemery,041012000Lemery
041013000,Lian,041013000Lian,041013000Lian
041014000,City of Lipa,041014000City of Lipa,041014000City of Lipa
041015000,Lobo,041015000Lobo,041015000Lobo
041016000,Mabini,041016000Mabini,041016000Mabini
041017000,Malvar,041017000Malvar,041017000Malvar
041018000,Mataasnakahoy,041018000Mataasnakahoy,041018000Mataasnakahoy
041019000,Nasugbu,041019000Nasugbu,041019000Nasugbu
041020000,Padre Garcia,041020000Padre Garcia,041020000Padre Garcia
041021000,Rosario,041021000Rosario,041021000Rosario
041022000,San Jose,041022000San Jose,041022000San Jose
041023000,San Juan,041023000San Juan,041023000San Juan
041024000,San Luis,041024000San Luis,041024000San Luis
041025000,San Nicolas,041025000San Nicolas,041025000San Nicolas
041026000,San Pascual,041026000San Pascual,041026000San Pascual
041027000,Santa Teresita,041027000Santa Teresita,041027000Santa Teresita
041028000,City of Sto. Tomas,041028000City of Sto. Tomas,041028000City of Sto. Tomas
041029000,Taal,041029000Taal,041029000Taal
041030000,Talisay,041030000Talisay,041030000Talisay
041031000,City of Tanauan,041031000City of Tanauan,041031000City of Tanauan
041032000,Taysan,041032000Taysan,041032000Taysan
041033000,Tingloy,041033000Tingloy,041033000Tingloy
041034000,Tuy,041034000Tuy,041034000Tuy
042101000,Alfonso,042101000Alfonso,042101000Alfonso
042102000,Amadeo,042102000Amadeo,042102000Amadeo
042103000,City of Bacoor,042103000City of Bacoor,042103000City of Bacoor
042104000,Carmona,042104000Carmona,042104000Carmona
042105000,City of Cavite,042105000City of Cavite,042105000City of Cavite
042106000,City of Dasmariñas,042106000City of Dasmariñas,042106000City of Dasmariñas
042107000,General Emilio Aguinaldo,042107000General Emilio Aguinaldo,042107000General Emilio Aguinaldo
042108000,City of General Trias,042108000City of General Trias,042108000City of General Trias
042109000,City of Imus,042109000City of Imus,042109000City of Imus
042110000,Indang,042110000Indang,042110000Indang
042111000,Kawit,042111000Kawit,042111000Kawit
042112000,Magallanes,042112000Magallanes,042112000Magallanes
042113000,Maragondon,042113000Maragondon,042113000Maragondon
042114000,Mendez,042114000Mendez,042114000Mendez
042115000,Naic,042115000Naic,042115000Naic
042116000,Noveleta,042116000Noveleta,042116000Noveleta
042117000,Rosario,042117000Rosario,042117000Rosario
042118000,Silang,042118000Silang,042118000Silang
042119000,City of Tagaytay,042119000City of Tagaytay,042119000City of Tagaytay
042120000,Tanza,042120000Tanza,042120000Tanza
042121000,Ternate,042121000Ternate,042121000Ternate
042122000,City of Trece Martires (Capital),042122000City of Trece Martires (Capital),042122000City of Trece Martires (Capital)
042123000,Gen. Mariano Alvarez,042123000Gen. Mariano Alvarez,042123000Gen. Mariano Alvarez
043401000,Alaminos,043401000Alaminos,043401000Alaminos
043402000,Bay,043402000Bay,043402000Bay
043403000,City of Biñan,043403000City of Biñan,043403000City of Biñan
043404000,City of Cabuyao,043404000City of Cabuyao,043404000City of Cabuyao
043405000,City of Calamba,043405000City of Calamba,043405000City of Calamba
043406000,Calauan,043406000Calauan,043406000Calauan
043407000,Cavinti,043407000Cavinti,043407000Cavinti
043408000,Famy,043408000Famy,043408000Famy
043409000,Kalayaan,043409000Kalayaan,043409000Kalayaan
043410000,Liliw,043410000Liliw,043410000Liliw
043411000,Los Baños,043411000Los Baños,043411000Los Baños
043412000,Luisiana,043412000Luisiana,043412000Luisiana
043413000,Lumban,043413000Lumban,043413000Lumban
043414000,Mabitac,043414000Mabitac,043414000Mabitac
043415000,Magdalena,043415000Magdalena,043415000Magdalena
043416000,Majayjay,043416000Majayjay,043416000Majayjay
043417000,Nagcarlan,043417000Nagcarlan,043417000Nagcarlan
043418000,Paete,043418000Paete,043418000Paete
043419000,Pagsanjan,043419000Pagsanjan,043419000Pagsanjan
043420000,Pakil,043420000Pakil,043420000Pakil
043421000,Pangil,043421000Pangil,043421000Pangil
043422000,Pila,043422000Pila,043422000Pila
043423000,Rizal,043423000Rizal,043423000Rizal
043424000,City of San Pablo,043424000City of San Pablo,043424000City of San Pablo
043425000,City of San Pedro,043425000City of San Pedro,043425000City of San Pedro
043426000,Santa Cruz (Capital),043426000Santa Cruz (Capital),043426000Santa Cruz (Capital)
043427000,Santa Maria,043427000Santa Maria,043427000Santa Maria
043428000,City of Santa Rosa,043428000City of Santa Rosa,043428000City of Santa Rosa
043429000,Siniloan,043429000Siniloan,043429000Siniloan
043430000,Victoria,043430000Victoria,043430000Victoria
045601000,Agdangan,045601000Agdangan,045601000Agdangan
045602000,Alabat,045602000Alabat,045602000Alabat
045603000,Atimonan,045603000Atimonan,045603000Atimonan
045605000,Buenavista,045605000Buenavista,045605000Buenavista
045606000,Burdeos,045606000Burdeos,045606000Burdeos
045607000,Calauag,045607000Calauag,045607000Calauag
045608000,Candelaria,045608000Candelaria,045608000Candelaria
045610000,Catanauan,045610000Catanauan,045610000Catanauan
045615000,Dolores,045615000Dolores,045615000Dolores
045616000,General Luna,045616000General Luna,045616000General Luna
045617000,General Nakar,045617000General Nakar,045617000General Nakar
045618000,Guinayangan,045618000Guinayangan,045618000Guinayangan
045619000,Gumaca,045619000Gumaca,045619000Gumaca
045620000,Infanta,045620000Infanta,045620000Infanta
045621000,Jomalig,045621000Jomalig,045621000Jomalig
045622000,Lopez,045622000Lopez,045622000Lopez
045623000,Lucban,045623000Lucban,045623000Lucban
045624000,City of Lucena (Capital),045624000City of Lucena (Capital),045624000City of Lucena (Capital)
045625000,Macalelon,045625000Macalelon,045625000Macalelon
045627000,Mauban,045627000Mauban,045627000Mauban
045628000,Mulanay,045628000Mulanay,045628000Mulanay
045629000,Padre Burgos,045629000Padre Burgos,045629000Padre Burgos
045630000,Pagbilao,045630000Pagbilao,045630000Pagbilao
045631000,Panukulan,045631000Panukulan,045631000Panukulan
045632000,Patnanungan,045632000Patnanungan,045632000Patnanungan
045633000,Perez,045633000Perez,045633000Perez
045634000,Pitogo,045634000Pitogo,045634000Pitogo
045635000,Plaridel,045635000Plaridel,045635000Plaridel
045636000,Polillo,045636000Polillo,045636000Polillo
045637000,Quezon,045637000Quezon,045637000Quezon
045638000,Real,045638000Real,045638000Real
045639000,Sampaloc,045639000Sampaloc,045639000Sampaloc
045640000,San Andres,045640000San Andres,045640000San Andres
045641000,San Antonio,045641000San Antonio,045641000San Antonio
045642000,San Francisco,045642000San Francisco,045642000San Francisco
045644000,San Narciso,045644000San Narciso,045644000San Narciso
045645000,Sariaya,045645000Sariaya,045645000Sariaya
045646000,Tagkawayan,045646000Tagkawayan,045646000Tagkawayan
045647000,City of Tayabas,045647000City of Tayabas,045647000City of Tayabas
045648000,Tiaong,045648000Tiaong,045648000Tiaong
045649000,Unisan,045649000Unisan,045649000Unisan
045801000,Angono,045801000Angono,045801000Angono
045802000,City of Antipolo (Capital),045802000City of Antipolo (Capital),045802000City of Antipolo (Capital)
045803000,Baras,045803000Baras,045803000Baras
045804000,Binangonan,045804000Binangonan,045804000Binangonan
045805000,Cainta,045805000Cainta,045805000Cainta
045806000,Cardona,045806000Cardona,045806000Cardona
045807000,Jala-Jala,045807000Jala-Jala,045807000Jala-Jala
045808000,Rodriguez,045808000Rodriguez,045808000Rodriguez
045809000,Morong,045809000Morong,045809000Morong
